observation_id,date,time,species_guess,scientific_name,rank,taxon_id,coordinates,place,lat_lon,grade,user
286916398,6/1/2025,2025-06-01T09:51:00-06:00,Rose Flower Urchin,Toxopneustes roseus,species,195811,"[-85.9626765465, 10.8533998942]","Islas Murciélago, Costa Rica","10.8533998942,-85.9626765465",research,d_gonzalez
286916396,6/1/2025,2025-06-01T09:50:00-06:00,Ashy Pink Sea Cucumber,Holothuria fuscocinerea,species,195764,"[-85.9626765465, 10.8533998942]","Islas Murciélago, Costa Rica","10.8533998942,-85.9626765465",needs_id,d_gonzalez
286916394,6/1/2025,2025-06-01T09:48:00-06:00,Scorpaena,Scorpaena,genus,47648,"[-85.9626765465, 10.8533998942]","Islas Murciélago, Costa Rica","10.8533998942,-85.9626765465",needs_id,d_gonzalez
286916393,6/1/2025,2025-06-01T09:46:00-06:00,Hourglass Moray,Muraena clepsydra,species,106237,"[-85.9626765465, 10.8533998942]","Islas Murciélago, Costa Rica","10.8533998942,-85.9626765465",research,d_gonzalez
286916392,6/1/2025,2025-06-01T09:45:00-06:00,Leptogorgia alba,Leptogorgia alba,species,195546,"[-85.9626765465, 10.8533998942]","Islas Murciélago, Costa Rica","10.8533998942,-85.9626765465",needs_id,d_gonzalez
286916391,6/1/2025,2025-06-01T09:45:00-06:00,Longnose Hawkfish,Oxycirrhites typus,species,121197,"[-85.9626765465, 10.8533998942]","Islas Murciélago, Costa Rica","10.8533998942,-85.9626765465",research,d_gonzalez
286916389,6/1/2025,2025-06-01T09:41:00-06:00,Oceanic Manta Ray,Mobula birostris,species,623966,"[-85.9071246536, 10.950762864]",Costa Rica,"10.950762864,-85.9071246536",research,d_gonzalez
286916387,6/1/2025,2025-06-01T09:32:00-06:00,Blue-spotted Cornetfish,Fistularia commersonii,species,57399,"[-85.9626765465, 10.8533998942]","Islas Murciélago, Costa Rica","10.8533998942,-85.9626765465",research,d_gonzalez
286916386,6/1/2025,2025-06-01T09:28:00-06:00,Oceanic Manta Ray,Mobula birostris,species,623966,"[-85.9160435596, 10.9221597333]",Costa Rica,"10.9221597333,-85.9160435596",research,d_gonzalez
286916384,6/1/2025,2025-06-01T08:23:00-06:00,Bull Shark,Carcharhinus leucas,species,84996,"[-85.999393133, 10.9991540885]",Costa Rica,"10.9991540885,-85.999393133",research,d_gonzalez
286916383,6/1/2025,2025-06-01T08:20:00-06:00,King Angelfish,Holacanthus passer,species,56797,"[-85.9626765465, 10.8533998942]","Islas Murciélago, Costa Rica","10.8533998942,-85.9626765465",research,d_gonzalez
286916382,6/1/2025,2025-06-01T09:27:00-06:00,Giant Hawkfish,Cirrhitus rivulatus,species,97880,"[-85.9626765465, 10.8533998942]","Islas Murciélago, Costa Rica","10.8533998942,-85.9626765465",research,d_gonzalez
286916375,6/1/2025,2025-06-01T08:20:00-06:00,Fine-spotted moray,Gymnothorax dovii,species,101897,"[-85.9626765465, 10.8533998942]","Islas Murciélago, Costa Rica","10.8533998942,-85.9626765465",research,d_gonzalez
286916374,6/1/2025,2025-06-01T08:19:00-06:00,Jewel Moray,Muraena lentiginosa,species,85111,"[-85.9626765465, 10.8533998942]","Islas Murciélago, Costa Rica","10.8533998942,-85.9626765465",research,d_gonzalez
286916373,6/1/2025,2025-06-01T08:18:00-06:00,Leptogorgia alba,Leptogorgia alba,species,195546,"[-85.9626765465, 10.8533998942]","Islas Murciélago, Costa Rica","10.8533998942,-85.9626765465",needs_id,d_gonzalez
286916371,6/1/2025,2025-06-01T08:17:00-06:00,Scorpaena,Scorpaena,genus,47648,"[-85.9626765465, 10.8533998942]","Islas Murciélago, Costa Rica","10.8533998942,-85.9626765465",needs_id,d_gonzalez
286916370,6/1/2025,2025-06-01T08:14:00-06:00,Flagtail Blanquillo,Malacanthus brevirostris,species,121424,"[-85.9626765465, 10.8533998942]","Islas Murciélago, Costa Rica","10.8533998942,-85.9626765465",research,d_gonzalez
286916369,6/1/2025,2025-06-01T08:12:00-06:00,Bull Shark,Carcharhinus leucas,species,84996,"[-85.8601700554, 10.8782589231]",Costa Rica,"10.8782589231,-85.8601700554",research,d_gonzalez
286916363,6/1/2025,2025-06-01T08:12:00-06:00,Bull Shark,Carcharhinus leucas,species,84996,"[-85.9488771563, 10.967090654]",Costa Rica,"10.967090654,-85.9488771563",research,d_gonzalez
286916362,6/1/2025,2025-06-01T08:12:00-06:00,Spinster Wrasse,Halichoeres nicholsi,species,56919,"[-85.9626765465, 10.8533998942]","Islas Murciélago, Costa Rica","10.8533998942,-85.9626765465",research,d_gonzalez
