observation_id,date,time,species_guess,taxon_id,coordinates,place,lat_lon,grade,user,kingdom,phylum,class,order,family,genus,scientific_name,rank
286916398,6/1/2025,2025-06-01T09:51:00-06:00,Rose Flower Urchin,195811,"[-85.9626765465, 10.8533998942]","Islas Murciélago, Costa Rica","10.8533998942,-85.9626765465",research,d_gonzalez,Animalia,Echinodermata,Echinoidea,Camarodonta,Toxopneustidae,Toxopneustes,Toxopneustes roseus,species
286916396,6/1/2025,2025-06-01T09:50:00-06:00,Ashy Pink Sea Cucumber,195764,"[-85.9626765465, 10.8533998942]","Islas Murciélago, Costa Rica","10.8533998942,-85.9626765465",needs_id,d_gonzalez,Animalia,Echinodermata,Holothuroidea,Holothuriida,Holothuriidae,Holothuria,Holothuria fuscocinerea,species
286916394,6/1/2025,2025-06-01T09:48:00-06:00,Scorpaena,47648,"[-85.9626765465, 10.8533998942]","Islas Murciélago, Costa Rica","10.8533998942,-85.9626765465",needs_id,d_gonzalez,Animalia,Chordata,Teleostei,Perciformes,Scorpaenidae,Scorpaena,Scorpaena,genus
286916393,6/1/2025,2025-06-01T09:46:00-06:00,Hourglass Moray,106237,"[-85.9626765465, 10.8533998942]","Islas Murciélago, Costa Rica","10.8533998942,-85.9626765465",research,d_gonzalez,Animalia,Chordata,Teleostei,Anguilliformes,Muraenidae,Muraena,Muraena clepsydra,species
286916392,6/1/2025,2025-06-01T09:45:00-06:00,Leptogorgia alba,195546,"[-85.9626765465, 10.8533998942]","Islas Murciélago, Costa Rica","10.8533998942,-85.9626765465",needs_id,d_gonzalez,Animalia,Cnidaria,Octocorallia,Malacalcyonacea,Gorgoniidae,Leptogorgia,Leptogorgia alba,species
286916391,6/1/2025,2025-06-01T09:45:00-06:00,Longnose Hawkfish,121197,"[-85.9626765465, 10.8533998942]","Islas Murciélago, Costa Rica","10.8533998942,-85.9626765465",research,d_gonzalez,Animalia,Chordata,Teleostei,Centrarchiformes,Cirrhitidae,Oxycirrhites,Oxycirrhites typus,species
286916389,6/1/2025,2025-06-01T09:41:00-06:00,Oceanic Manta Ray,623966,"[-85.9071246536, 10.950762864]",Costa Rica,"10.950762864,-85.9071246536",research,d_gonzalez,Animalia,Chordata,Elasmobranchii,Myliobatiformes,Mobulidae,Mobula,Mobula birostris,species
286916387,6/1/2025,2025-06-01T09:32:00-06:00,Blue-spotted Cornetfish,57399,"[-85.9626765465, 10.8533998942]","Islas Murciélago, Costa Rica","10.8533998942,-85.9626765465",research,d_gonzalez,Animalia,Chordata,Teleostei,Syngnathiformes,Fistulariidae,Fistularia,Fistularia commersonii,species
286916386,6/1/2025,2025-06-01T09:28:00-06:00,Oceanic Manta Ray,623966,"[-85.9160435596, 10.9221597333]",Costa Rica,"10.9221597333,-85.9160435596",research,d_gonzalez,Animalia,Chordata,Elasmobranchii,Myliobatiformes,Mobulidae,Mobula,Mobula birostris,species
286916384,6/1/2025,2025-06-01T08:23:00-06:00,Bull Shark,84996,"[-85.999393133, 10.9991540885]",Costa Rica,"10.9991540885,-85.999393133",research,d_gonzalez,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus,Carcharhinus leucas,species
286916383,6/1/2025,2025-06-01T08:20:00-06:00,King Angelfish,56797,"[-85.9626765465, 10.8533998942]","Islas Murciélago, Costa Rica","10.8533998942,-85.9626765465",research,d_gonzalez,Animalia,Chordata,Teleostei,Acanthuriformes,Pomacanthidae,Holacanthus,Holacanthus passer,species
286916382,6/1/2025,2025-06-01T09:27:00-06:00,Giant Hawkfish,97880,"[-85.9626765465, 10.8533998942]","Islas Murciélago, Costa Rica","10.8533998942,-85.9626765465",research,d_gonzalez,Animalia,Chordata,Teleostei,Centrarchiformes,Cirrhitidae,Cirrhitus,Cirrhitus rivulatus,species
286916375,6/1/2025,2025-06-01T08:20:00-06:00,Fine-spotted moray,101897,"[-85.9626765465, 10.8533998942]","Islas Murciélago, Costa Rica","10.8533998942,-85.9626765465",research,d_gonzalez,Animalia,Chordata,Teleostei,Anguilliformes,Muraenidae,Gymnothorax,Gymnothorax dovii,species
286916374,6/1/2025,2025-06-01T08:19:00-06:00,Jewel Moray,85111,"[-85.9626765465, 10.8533998942]","Islas Murciélago, Costa Rica","10.8533998942,-85.9626765465",research,d_gonzalez,Animalia,Chordata,Teleostei,Anguilliformes,Muraenidae,Muraena,Muraena lentiginosa,species
286916373,6/1/2025,2025-06-01T08:18:00-06:00,Leptogorgia alba,195546,"[-85.9626765465, 10.8533998942]","Islas Murciélago, Costa Rica","10.8533998942,-85.9626765465",needs_id,d_gonzalez,Animalia,Cnidaria,Octocorallia,Malacalcyonacea,Gorgoniidae,Leptogorgia,Leptogorgia alba,species
286916371,6/1/2025,2025-06-01T08:17:00-06:00,Scorpaena,47648,"[-85.9626765465, 10.8533998942]","Islas Murciélago, Costa Rica","10.8533998942,-85.9626765465",needs_id,d_gonzalez,Animalia,Chordata,Teleostei,Perciformes,Scorpaenidae,Scorpaena,Scorpaena,genus
286916370,6/1/2025,2025-06-01T08:14:00-06:00,Flagtail Blanquillo,121424,"[-85.9626765465, 10.8533998942]","Islas Murciélago, Costa Rica","10.8533998942,-85.9626765465",research,d_gonzalez,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Malacanthidae,Malacanthus,Malacanthus brevirostris,species
