Kingdom,Phylum,Subphylum,Class,Order,Suborder,Family,AphiaID,Infraphylum,Parvphylum,Subclass,Infraclass,Genus,Species,Superfamily,Superclass,Superorder,Infraorder,Section,Subsection,Subterclass,Subgenus,Gigaclass,Subfamily,Megaclass,Tribe
Animalia,Cnidaria,Anthozoa,Hexacorallia,Ceriantharia,Penicillaria,Arachnactidae,1,,,,,,,,,,,,,,,,,,
Animalia,Chordata,Vertebrata,Elasmobranchii,Myliobatiformes,,Urotrygonidae,1,Gnathostomata,Chondrichthyes,Neoselachii,Batoidea,Urobatis,Urobatis pardalis,,,,,,,,,,,,
Animalia,Cnidaria,Anthozoa,Hexacorallia,Actiniaria,Enthemonae,Actiniidae,1,,,,,Urticina,,Actinioidea,,,,,,,,,,,
Animalia,Cnidaria,Anthozoa,Hexacorallia,Actiniaria,Enthemonae,Andvakiidae,1,,,,,Telmatactis,,Metridioidea,,,,,,,,,,,
Animalia,Cnidaria,Anthozoa,Hexacorallia,Actiniaria,Enthemonae,Metridiidae,1,,,,,Metridium,,Metridioidea,,,,,,,,,,,
Animalia,Cnidaria,Anthozoa,Hexacorallia,Actiniaria,Enthemonae,Actiniidae,1,,,,,Anemonia,Anemonia viridis,Actinioidea,,,,,,,,,,,
Animalia,Cnidaria,Anthozoa,Hexacorallia,Actiniaria,Enthemonae,Actiniidae,1,,,,,Urticina,Urticina eques,Actinioidea,,,,,,,,,,,
Animalia,Chordata,Vertebrata,Elasmobranchii,Myliobatiformes,,Mobulidae,1,Gnathostomata,Chondrichthyes,Neoselachii,Batoidea,Mobula,Mobula birostris,,,,,,,,,,,,
Animalia,Arthropoda,Crustacea,Thecostraca,Balanomorpha,,Catophragmidae,1,,,Cirripedia,Thoracica,Catolasmus,Catolasmus pilsbryi,Chthamaloidea,Multicrustacea,Thoracicalcarea,,,,,,,,,
Animalia,Chordata,Vertebrata,Elasmobranchii,Myliobatiformes,,Dasyatidae,1,Gnathostomata,Chondrichthyes,Neoselachii,Batoidea,Hypanus,Hypanus longus,,,,,,,,,,,,
