Abudefduf troschelii
Acanthurus coeruleus
Acanthurus nigricans
Acanthurus xanthopterus
Acropora palmata
Actiniaria
Aetobatus laticeps
Agaricia tenuifolia
Ammotheidae
Amphiodia occidentalis
Anemonia viridis
Aniculus elegans
Anisotremus davidsonii
Anisotremus taeniatus
Anisotremus virginicus
Antennariidae
Anthopleura elegantissima
Anthopleura sola
Anthopleura xanthogrammica
Anthozoa
Antillogorgia americana
Aplysia
Aplysia californica
Aplysia dactylomela
Aplysia punctata
Aplysia vaccaria
Aplysina gerardogreeni
Apostichopus californicus
Arachnactidae
Armina californica
Arothron hispidus
Arothron meleagris
Ascidia sideralis
Asteroidea
Astropyga pulvinata
Azurina atrilobata
Balanophyllia regia
Balistes polylepis
Bodianus diplotaenia
Bolinopsidae
Botrylloides niger
Bunodosoma grande
Caenogastropoda
Canthigaster punctatissima
Carangidae
Caranx bartholomaei
Caranx caballus
Caranx caninus
Caranx melampygus
Caranx ruber
Carcharhinus leucas
Carijoa riisei
Caryophyllia
Catolasmus pilsbryi
Cephalopholis
Cephalopholis colonus
Cephalopholis panamensis
Chaetodon humeralis
Chelonia mydas
Chiton stokesii
Chromolaichma sedna
Cirrhitichthys oxycephalus
Clathria
Clinocottus analis
Cliona tenuis
Clypeaster subdepressus
Corambe pacifica
Coscinasterias tenuispina
Cryptochiton stelleri
Cucumaria flamma
Cucumaria miniata
Cyanea ferruginea
Demospongiae
Dendrochirotida
Dermasterias imbricata
Diadema antillarum
Diadema mexicanum
Diaulula odonoghuei
Diodon holocanthus
Diodon hystrix
Diplectrum formosum
Diploria labyrinthiformis
Doris montereyensis
Echidna nebulosa
Echinacea
Echinaster (Othilia) spinulosus
Echinometra
Echinometra lucunter
Echinometra vanbrunti
Echinometra viridis
Enthemonae
Epinephelus labriformis
Eretmochelys imbricata
Euapta godeffroyi
Euapta lappa
Eubranchus
Eucidaris thouarsii
Eucidaris tribuloides
Eupentacta quinquesemita
Evasterias troschelii
Exaiptasia diaphana
Fistularia commersonii
Gemophos
Gnathanodon speciosus
Gymnothorax castaneus
Gymnothorax flavimarginatus
Haemulon flavolineatum
Haemulon maculicauda
Haemulon sexfasciatum
Halichoeres chierchiae
Halichoeres dispilus
Halichoeres nicholsi
Halichondria panicea
Haliclona
Haliclystus sanjuanensis
Haliotis tuberculata
Haminoea vesicula
Henricia leviuscula
Heptacarpus
Hermodice carunculata
Hexaplex princeps
Holacanthus passer
Holothuria
Holothuria fuscocinerea
Holothuria impatiens
Holothuroidea
Hoplopagrus guentherii
Hypanus longus
Hypoplectrus ecosur
Iphione
Isostichopus fuscus
Johnrandallia nigrirostris
Katharina tunicata
Kelletia kelletii
Kyphosidae
Leptasterias hexactis
Leptogorgia
Leptogorgia alba
Leptosynapta clarki
Limidae
Lutjanus argentiventris
Lutjanus griseus
Lutjanus viridis
Lytechinus variegatus
Macrorhynchia philippina
Malacanthus brevirostris
Maldanidae
Malea ringens
Megastraea undosa
Melibe leonina
Mesocentrotus franciscanus
Metridium
Microcionidae
Millepora
Millepora complanata
Mithrodia bradleyi
Mobula birostris
Mopalia muscosa
Muraena clepsydra
Muraena lentiginosa
Muricea
Muricea californica
Myriopathes panamensis
Myripristis berndti
Mytilus californianus
Naticidae
Neaxius
Neobernaya spadicea
Nidorellia armata
Nuttallina
Octopoda
Octopus
Octopus bimaculatus
Ophioblennius steindachneri
Ophiuroidea
Opsanus beta
Ostreida
Oxycirrhites typus
Pacifigorgia
Palythoa caribaeorum
Parablennius parvicornis
Paracentrotus lividus
Paralabrax clathratus
Parapsettus panamensis
Pareques acuminatus
Patiria miniata
Pavona
Pavona gigantea
Pennaria
Pennaria disticha
Pentaceraster cumingi
Pharia pyramidata
Phataria unifascialis
Physalia physalis
Pinctada mazatlanica
Placospongia
Plagusia depressa
Pleurobranchus areolatus
Plexauridae
Pocillopora
Pollicipes polymerus
Pomacanthus zonipectus
Porifera
Porites
Pseudobalistes naufragium
Pseudocnus californicus
Pseudodiploria clivosa
Pterogorgia
Pterois volitans
Pycnogonida
Pyrosoma
Pyrosomatida
Rhopalaea birkelandi
Rypticus bicolor
Sabellastarte
Sabellidae
Scarus ghobban
Scarus rubroviolaceus
Scorpaena mystes
Serpulidae
Serranus psittacinus
Siderastrea radians
Siderastrea siderea
Similiparma lurida
Spondylus
Stegastes
Stegastes acapulcoensis
Stegastes flavilatus
Stellamedusa ventana
Stenoplax
Stenoplax conspicua
Stenorhynchus debilis
Stichodactyla helianthus
Stomatopoda
Strongylocentrotus
Strongylocentrotus purpuratus
Styracura pacifica
Sufflamen verres
Synodontidae
Telmatactis
Terebellidae
Thalassoma bifasciatum
Thalassoma lucasanum
Thalassoma pavo
Tonicia forbesii
Toxopneustes roseus
Toxopneustidae
Triaenodon obesus
Triopha maculata
Tripneustes depressus
Tripneustes ventricosus
Tubastraea coccinea
Urobatis pardalis
Urticina
Urticina eques
Xenichthys xanti
Zanclus cornutus
