AphiaID,url,scientificname,authority,status,unacceptreason,taxonRankID,rank,valid_AphiaID,valid_name,valid_authority,parentNameUsageID,kingdom,phylum,class,order,family,genus,citation,lsid,isMarine,isBrackish,isFreshwater,isTerrestrial,isExtinct,match_type,modified
1360,https://www.marinespecies.org/aphia.php?p=taxdetails&id=1360,Actiniaria,"Hertwig, 1882",accepted,,100,Order,1360,Actiniaria,"Hertwig, 1882",1340,Animalia,Cnidaria,Hexacorallia,Actiniaria,,,"Rodríguez, E.; Fautin, D; Daly, M. (2024). World List of Actiniaria. Actiniaria. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1360 on 2024-12-17",urn:lsid:marinespecies.org:taxname:1360,1,1.0,,0.0,,like,2020-09-23T17:25:35.427Z
1562,https://www.marinespecies.org/aphia.php?p=taxdetails&id=1562,Ammotheidae,"Dohrn, 1881",accepted,,140,Family,1562,Ammotheidae,"Dohrn, 1881",1702219,Animalia,Arthropoda,Pycnogonida,Pantopoda,Ammotheidae,,"Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. Ammotheidae Dohrn, 1881. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1562 on 2024-12-17",urn:lsid:marinespecies.org:taxname:1562,1,,,,,like,2023-10-08T16:28:42.983Z
125484,https://www.marinespecies.org/aphia.php?p=taxdetails&id=125484,Antennariidae,"Jarocki, 1822",accepted,,140,Family,125484,Antennariidae,"Jarocki, 1822",10316,Animalia,Chordata,Teleostei,Lophiiformes,Antennariidae,,"Froese, R. and D. Pauly. Editors. (2024). FishBase. Antennariidae Jarocki, 1822. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=125484 on 2024-12-17",urn:lsid:marinespecies.org:taxname:125484,1,1.0,,0.0,,like,2015-04-17T08:48:21.843Z
1292,https://www.marinespecies.org/aphia.php?p=taxdetails&id=1292,Anthozoa,"Ehrenberg, 1834",accepted,,40,Subphylum,1292,Anthozoa,"Ehrenberg, 1834",1267,Animalia,Cnidaria,,,,,WoRMS (2024). Anthozoa. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1292 on 2024-12-17,urn:lsid:marinespecies.org:taxname:1292,1,1.0,,0.0,,like,2024-02-29T07:57:50.617Z
137654,https://www.marinespecies.org/aphia.php?p=taxdetails&id=137654,Aplysia,"Linnaeus, 1767",accepted,,180,Genus,137654,Aplysia,"Linnaeus, 1767",172,Animalia,Mollusca,Gastropoda,Aplysiida,Aplysiidae,Aplysia,"MolluscaBase eds. (2024). MolluscaBase. Aplysia Linnaeus, 1767. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=137654 on 2024-12-17",urn:lsid:marinespecies.org:taxname:137654,1,,,,,like,2018-09-10T09:52:24.483Z
100682,https://www.marinespecies.org/aphia.php?p=taxdetails&id=100682,Arachnactidae,"McMurrich, 1910",accepted,,140,Family,100682,Arachnactidae,"McMurrich, 1910",366466,Animalia,Cnidaria,Hexacorallia,Ceriantharia,Arachnactidae,,"Molodtsova, T. (2024). World List of Ceriantharia. Arachnactidae McMurrich, 1910. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=100682 on 2024-12-17",urn:lsid:marinespecies.org:taxname:100682,1,0.0,0.0,0.0,0.0,like,2017-11-16T19:34:56.090Z
123080,https://www.marinespecies.org/aphia.php?p=taxdetails&id=123080,Asteroidea,"de Blainville, 1830",accepted,,60,Class,123080,Asteroidea,"de Blainville, 1830",148743,Animalia,Echinodermata,Asteroidea,,,,WoRMS (2024). Asteroidea. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=123080 on 2024-12-17,urn:lsid:marinespecies.org:taxname:123080,1,0.0,0.0,0.0,0.0,like,2009-06-22T07:47:14.980Z
106325,https://www.marinespecies.org/aphia.php?p=taxdetails&id=106325,Bolinopsidae,"Bigelow, 1912",accepted,,140,Family,106325,Bolinopsidae,"Bigelow, 1912",1258,Animalia,Ctenophora,Tentaculata,Lobata,Bolinopsidae,,"Mills, C.E. Internet (1998-present). Phylum Ctenophora: list of all valid species names. Electronic internet document. Bolinopsidae Bigelow, 1912. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=106325 on 2024-12-17",urn:lsid:marinespecies.org:taxname:106325,1,1.0,0.0,0.0,,like,2024-01-03T10:20:43.283Z
224570,https://www.marinespecies.org/aphia.php?p=taxdetails&id=224570,Caenogastropoda,"L. R. Cox, 1960",accepted,,70,Subclass,224570,Caenogastropoda,"L. R. Cox, 1960",101,Animalia,Mollusca,Gastropoda,,,,WoRMS (2024). Caenogastropoda. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=224570 on 2024-12-17,urn:lsid:marinespecies.org:taxname:224570,1,1.0,1.0,1.0,,like,2022-12-14T11:04:40.847Z
125523,https://www.marinespecies.org/aphia.php?p=taxdetails&id=125523,Carangidae,"Rafinesque, 1815",accepted,,140,Family,125523,Carangidae,"Rafinesque, 1815",1517532,Animalia,Chordata,Teleostei,Carangiformes,Carangidae,,"Froese, R. and D. Pauly. Editors. (2024). FishBase. Carangidae Rafinesque, 1815. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=125523 on 2024-12-17",urn:lsid:marinespecies.org:taxname:125523,1,1.0,1.0,0.0,,like,2021-06-30T10:22:35.833Z
